"ID","FULL-CHECKSUM","PART-CHECKSUM","VERSION","AUTHOR","COPYRIGHT","CREDIT","LICENSE","TITLE","SUBJECT","URL","FRAMEWORK","MODSERVER","FILESIZE","FILEDATE","DEPENDENCIES"
"brl.event","B9AAABAD","257347D2","1.07","Mark Sibly, Bruce A Henderson","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","8007","1601047527","BRL.Hook"
"brl.io","53935865","ED1A6324","1.00","-","Bruce A Henderson","-","zlib/libpng","-","-","-","-","-","9838","1601047527",""
"brl.blitz","01539BFA","5BE14BE3","1.22","Mark Sibly","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","29277","1601047527",""
"brl.socket","DC44D6EF","5C7F450C","1.04","Mark Sibly and Bruce A Henderson","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","11133","1601047527","Pub.StdC"
"brl.system","4DF130CC","4883591F","1.29","Mark Sibly, Simon Armstrong","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","10896","1601047527","BRL.Event;BRL.KeyCodes;BRL.Hook;BRL.FileSystem;Pub.StdC"
"brl.tgaloader","481F6CD1","47844D4D","1.07","Simon Armstrong","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","5406","1601047527","BRL.StbImageLoader;BRL.Pixmap;BRL.EndianStream"
"brl.maxunit","54480260","5C4C4377","1.06","Bruce A Henderson","(c) 2006-2019 Bruce A Henderson","Based loosely on the JUnit testing framework by Erich Gamma and Kent Beck. see junit.org","MIT","-","-","-","-","-","19524","1601047527","BRL.LinkedList;BRL.StandardIO;BRL.System;BRL.Reflection"
"brl.systemdefault","5AACA2B0","C2BA5976","1.29","Mark Sibly, Simon Armstrong","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","3515","1601047527","BRL.System;BRL.KeyCodes;BRL.Hook"
"brl.matrix","D659E097","10905E68","1.00","Bruce A Henderson","2019-2020 Bruce A Henderson","-","zlib","-","-","-","-","-","83121","1601047527","BRL.Math;BRL.Vector;BRL.StringBuilder"
"brl.timer","F8FF2C1C","AEBA48B4","1.04","Simon Armstrong, Mark Sibly, Bruce A Henderson","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","-","5006","1601047527","BRL.Event;pub.stdc"
"brl.endianstream","454FF8ED","770D3D46","1.02","Mark Sibly","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","3254","1601047527","BRL.Stream"
"brl.maxutil","40B7F100","6C863304","1.01","Mark Sibly","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","3385","1601047527","BRL.LinkedList;BRL.FileSystem;Pub.StdC"
"brl.textstream","1CE21095","80885464","1.05","Mark Sibly","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","13208","1601047527","BRL.Stream"
"brl.d3d7max2d","8464C6EC","006E53B8","1.20","Simon Armstrong","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","22784","1601047527","BRL.DXGraphics;BRL.GLMax2D"
"brl.standardio","72A84BFD","6DAE4797","1.07","Mark Sibly","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","1792","1601047527","BRL.TextStream"
"crypto.xtsmode","C29C2158","A122601A","-","-","-","-","-","-","-","-","-","-","3089","1600611637",""
"crypto.crypto","27C29AB7","E4D2332C","1.00","Bruce A Henderson.","-","-","ISC","-","-","-","-","-","55497","1600611637",""
"crypto.crc32","8E7CDFAB","62955E12","-","-","-","-","-","-","-","-","-","-","2994","1600611637",""
"crypto.gcmauthmode","4C1D61EF","6AB55DA3","-","-","-","-","-","-","-","-","-","-","1037","1600611637",""
"crypto.descipher","2637D885","A77661AB","-","-","-","-","-","-","-","-","-","-","2163","1600611637",""
"crypto.sha256digest","1433D906","51D35F43","-","-","-","-","-","-","-","-","-","-","2196","1600611637",""
"crypto.twofishcipher","BE203F4B","F39A6168","-","-","-","-","-","-","-","-","-","-","1691","1600611637",""
"crypto.ofbmode","D885E2C4","D1586150","-","-","-","-","-","-","-","-","-","-","3673","1600611637",""
"crypto.blake2bdigest","BCE044B6","77015FDD","-","-","-","-","-","-","-","-","-","-","4926","1600611637",""
"crypto.sha1digest","49BAD380","65B85F48","-","-","-","-","-","-","-","-","-","-","2170","1600611637",""
"crypto.xteacipher","99B2222A","6BD25EEE","-","-","-","-","-","-","-","-","-","-","1616","1600611637",""
"crypto.sha512digest","A6B0D7B4","50365F3E","-","-","-","-","-","-","-","-","-","-","2196","1600611637",""
"crypto.ripemd256digest","A9DAFB3C","4F7D5F76","-","-","-","-","-","-","-","-","-","-","2304","1600611637",""
"crypto.ripemd160digest","A0F7FAD3","4D9C5F70","-","-","-","-","-","-","-","-","-","-","2304","1600611637",""
"crypto.blowfishcipher","FAF24C08","E61A616F","-","-","-","-","-","-","-","-","-","-","1724","1600611637",""
"crypto.aescipher","E6A526DE","879E6079","-","-","-","-","-","-","-","-","-","-","1627","1600611637",""
"crypto.camelliacipher","845B4566","D9106102","-","-","-","-","-","-","-","-","-","-","1715","1600611637",""
"crypto.cbcmode","9AE7C52E","CA966192","-","-","-","-","-","-","-","-","-","-","3585","1600611637",""
"crypto.ctrmode","B4AB3306","F6E461F5","-","-","-","-","-","-","-","-","-","-","4646","1600611637",""
"crypto.kseedcipher","BC702814","828D5F1D","-","-","-","-","-","-","-","-","-","-","1633","1600611637",""
"crypto.noekeoncipher","2D072D46","3C415E6D","-","-","-","-","-","-","-","-","-","-","1644","1600611637",""
"crypto.ideacipher","2C46359C","A01E5F84","-","-","-","-","-","-","-","-","-","-","1665","1600611637",""
"crypto.kasumicipher","7F452B46","6C505F0C","-","-","-","-","-","-","-","-","-","-","1637","1600611637",""
"crypto.f8mode","FA6BEFC9","A0216124","-","-","-","-","-","-","-","-","-","-","3710","1600611637",""
"crypto.lrwmode","EF6CB934","DD8C6277","-","-","-","-","-","-","-","-","-","-","3539","1600611637",""
"crypto.libtomcrypt","93118511","93118511","-","-","-","-","-","-","-","-","-","-","379","1600611637",""
"crypto.ripemd128digest","66B4FB22","4ED85F74","-","-","-","-","-","-","-","-","-","-","2304","1600611637",""
"crypto.cast5cipher","6EC34069","7C285F17","-","-","-","-","-","-","-","-","-","-","1713","1600611637",""
"crypto.serpentcipher","68234602","F2ED61C6","-","-","-","-","-","-","-","-","-","-","1709","1600611637",""
"crypto.ripemd320digest","5E2DFAB9","4CFC5F6E","-","-","-","-","-","-","-","-","-","-","2304","1600611637",""
"crypto.libhydrogen","21F874F9","4ED433B3","1.02","Frank Denis.","-","Adapted for BlitzMax by Bruce A Henderson","ISC","-","-","-","-","-","1231","1600611637",""
"crypto.khazadcipher","68093564","97AE621B","-","-","-","-","-","-","-","-","-","-","1663","1600611637",""
"crypto.whirlpooldigest","41C7F980","A5606179","-","-","-","-","-","-","-","-","-","-","2252","1600611637",""
"crypto.cipher","940143A1","89F85E06","-","-","-","-","-","-","-","-","-","-","2503","1600611637",""
"crypto.ecbmode","131C5A27","0A5D623D","-","-","-","-","-","-","-","-","-","-","2519","1600611637",""
"crypto.cfbmode","49BB14D4","FEE5627D","-","-","-","-","-","-","-","-","-","-","3805","1600611637",""
"crypto.md5digest","0A22C671","7D816005","-","-","-","-","-","-","-","-","-","-","2122","1600611637",""
"crypto.anubiscipher","6205658A","D2596174","-","-","-","-","-","-","-","-","-","-","1803","1600611637",""
"crypto.sha3digest","9C4C1253","669E5F4E","-","-","-","-","-","-","-","-","-","-","4776","1600611637",""
"crypto.digest","F27AB753","C9026098","-","-","-","-","-","-","-","-","-","-","5060","1600611637",""
"crypto.tigerdigest","382AE47D","D122615D","-","-","-","-","-","-","-","-","-","-","2197","1600611637",""
"crypto.skipjackcipher","15664115","D2066136","-","-","-","-","-","-","-","-","-","-","1692","1600611637",""
"sdl.sdl","82AE4DF8","F37C55CC","1.00","-","-","-","zlib/libpng","-","-","-","-","-","14205","1602105323",""
"sdl.sdlgamecontroller","730DB01C","1C3661A4","-","-","-","-","-","-","-","-","-","-","7263","1602105323",""
"sdl.d3d9sdlgraphics","F6A63777","86AE50FC","-","-","-","-","-","-","-","-","-","-","9124","1602105323","Pub.DirectX;SDL.SDLGraphics;BRL.LinkedList"
"sdl.sdlhaptic","F21A9C20","E9D85FC0","-","-","-","-","-","-","-","-","-","-","30746","1602105323","SDL.SDLJoystick"
"sdl.sdljoystick","FD2B96FA","005E56C5","-","-","-","-","-","-","-","-","-","-","5365","1602105323","SDL.SDL;Pub.Joystick;BRL.Map"
"sdl.sdlfreeaudio","3993D748","31AD57D0","-","-","-","-","-","-","-","-","-","-","2275","1602105323","SDL.SDL;BRL.FreeAudioAudio"
"sdl.sdlgraphics","B416B770","2B8E5723","-","-","-","-","-","-","-","-","-","-","8863","1602105323","SDL.SDLSystem;SDL.SDLVideo;BRL.Graphics"
"sdl.sdlsurface","E9E014A2","7B025E60","-","-","-","-","-","-","-","-","-","-","14411","1602105323","SDL.SDL"
"sdl.glsdlgraphics","C643C3CF","8F18425B","1.00","Mark Sibly, Simon Armstrong, Bruce A Henderson","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","-","4705","1602105323","SDL.SDLGraphics;BRL.Pixmap;Pub.Glew;Pub.OpenGL"
"sdl.sdlsensor","F299AC68","72245E2F","-","-","-","-","-","-","-","-","-","-","4291","1602105323","SDL.SDL"
"sdl.sdlsystem","FC4529FD","310D572C","-","-","-","-","-","-","-","-","-","-","6645","1602105323","SDL.SDL;BRL.System;BRL.LinkedList;Pub.NFD;Brl.StringBuilder"
"sdl.sdlvideo","B1419A97","739D5E50","-","-","-","-","-","-","-","-","-","-","28854","1602105323","SDL.SDLSurface"
"sdl.d3d9sdlmax2d","58B2B18A","C4E15449","1.00","-","Blitz Research Ltd, Bruce A Henderson","-","zlib/libpng","-","-","-","-","-","17076","1602105323","BRL.Max2D;SDL.D3D9SDLGraphics"
"sdl.glsdlmax2d","A38CB773","72D04EB9","1.14","Mark Sibly","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","13982","1602105323","BRL.Max2D;SDL.GLSDLGraphics"
"sdl.sdltimer","C31F00EC","0D4D5757","1.01","Simon Armstrong, Mark Sibly, Bruce A Henderson","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","4018","1602105323","SDL.SDLSystem;BRL.Event;BRL.Timer"
"sdl.virtualjoystick","2628B70F","6CFD5925","-","-","-","-","-","-","-","-","-","-","9833","1602105323","SDL.SDL;BRL.Event;Pub.Joystick;BRL.Math"
"sdl.gl2sdlmax2d","6509AFBA","6509AFBA","1.00","Mark Sibly, Bruce Henderson, Emil Andersson","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","-","544","1602105323",""
"sdl.sdlrender","8506E29A","7D6C5E76","-","-","-","-","-","-","-","-","-","-","12989","1602105323","SDL.SDLVideo"
"steam.steamsdk","26791184","EFDC622C","1.04","-","Wrapper - 2019-2020 Bruce A Henderson","-","zlib/libpng","-","-","-","-","-","181205","1592506563",""
"mky.mojo2","6674C822","27F75AAB","1.00","Mark Sibly, Bruce A Henderson","BlitzMax port - 2015 Bruce A Henderson","-","zlib/libpng","-","-","-","-","-","1368","1602390187",""
"audio.soloud","8253487B","C03A5F9F","1.02","-","Wrapper - 2016-2020 Bruce A Henderson","-","zlib/libpng","-","-","-","-","-","41168","1600611606",""
"audio.soloudminiaudio","5CBD33BC","0F8B60F9","1.00","-","Wrapper - 2016-2020 Bruce A Henderson","-","zlib/libpng","-","-","-","-","-","1672","1600611606",""
"audio.audiominiaudio","F67A9F60","008C61BD","-","-","-","-","-","-","-","-","-","-","3522","1600611606","Audio.SoloudMiniAudio;Audio.SoloudAudio"
"audio.soloudaudio","498C1CB7","2EB761BE","1.02","-","2016-2020 Bruce A Henderson","-","zlib/libpng","-","-","-","-","-","10550","1600611606","Audio.soloud;BRL.Audio;brl.filesystem"
"audio.soloudsdl","D92FF677","946C5F3E","1.00","-","Wrapper - 2016-2020 Bruce A Henderson","-","zlib/libpng","-","-","-","-","-","1509","1600611606",""
"audio.libopenmpt","951105D4","40864E29","-","-","-","-","-","-","-","-","-","-","7282","1600611606",""
"audio.audiosdl","5E683580","B024602B","-","-","-","-","-","-","-","-","-","-","3954","1600611606","Audio.SoloudSDL;Audio.SoloudAudio"
"audio.modloader","8E0DC1E4","E51260DD","-","-","-","-","-","-","-","-","-","-","5126","1600611606","Audio.SoloudAudio"
"maxgui.maxguitextareascintilla","C98DCD61","EB6B4097","1.01","-","(c) 2014-2019 Bruce A Henderson","-","MIT","-","-","-","-","-","3154","1602068278",""
"maxgui.win32maxguiex","CB2CA6B2","02135566","0.80","Simon Armstrong, Seb Hollington, Bruce A Henderson","-","-","zlib/libpng","-","-","-","-","-","148999","1602068278","MaxGUI.MaxGUI;brl.systemdefault;brl.retro"
"maxgui.localization","746FB319","06ED55C3","1.02","Seb Hollington","Seb Hollington","-","zlib/libpng","-","-","-","-","-","16091","1602068278","BRL.System"
"maxgui.gtk3webkit2gtk","673C8134","58604376","1.00","-","2014-2019 Bruce A Henderson","-","MIT","-","-","-","-","-","6007","1602068278","MaxGUI.GTK3MaxGUI"
"maxgui.gtk3maxgui","AB769DD8","3D0D436F","2.01","-","2006-2020 Bruce A Henderson","-","MIT","-","-","-","-","-","2107","1602068278",""
"maxgui.cocoamaxgui","984CF513","B07455E1","1.55B","Simon Armstrong, Seb Hollington","Blitz Research Ltd.","-","zlib/libpng","-","-","-","-","-","14113","1602068278",""
"maxgui.maxgui","63ED910A","65865514","1.35","Simon Armstrong, Mark Sibly","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","-","93248","1602068278","BRL.Map;BRL.LinkedList;BRL.FileSystem;BRL.StandardIO"
"maxgui.drivers","E3424511","30515179","0.06","Simon Armstrong","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","-","1760","1602068278","MaxGUI.Win32MaxGUIEx;Maxgui.CocoaMaxGui;MaxGUI.GTK3MaxGUI;MaxGUI.GTK3MaxGUI;MaxGUI.GTK3MaxGUI"
"maxgui.proxygadgets","6C7B3945","F9C35C3D","1.12","-","-","-","BSD License","-","-","-","-","-","2430","1602068278",""
"maxgui.gtk3webkitgtk","EFB7A45B","54784375","1.00","-","2014-2018 Bruce A Henderson","-","MIT","-","-","-","-","-","6109","1602068278","MaxGUI.GTK3MaxGUI"
"pub.enet","2CAF0712","FB025186","1.02","Lee Salzman, Vladyslav Hrytsenko, Dominik Madarasz","-","-","-","-","-","-","-","-","3848","1600611569","Pub.StdC"
"pub.nx","3C1B61ED","3C1B61ED","-","-","-","-","-","-","-","-","-","-","283","1600611569",""
"pub.physfs","83FC972F","4864787F","-","-","-","-","-","-","-","-","-","-","1107","1600611569",""
"pub.freejoy","106AADD8","452554FE","1.10","Simon Armstrong, Bruce A Henderson","Blitz Research Ltd","-","zlib/libpng","-","-","-","-","BRL","5466","1600611569","Pub.Joystick"
"pub.freetype","6E0D5B12","EC694CFA","1.14","-","-","-","FreeType License","-","-","-","-","BRL","5728","1600611569",""
"pub.libjpeg","239084AF","9C774A19","1.07","Independent JPEG Group","Independent JPEG Group","Adapted for BlitzMax by Simon Armstrong","Freely distributable","-","-","-","-","BRL","2003","1600611569",""
"pub.zlib","1AEC0BF2","B27141BC","1.05","Jean-loup Gailly, Mark Adler","-","Adapted for BlitzMax by Mark Sibly","zlib/libpng","-","-","-","-","BRL","2379","1600611569",""
"pub.stbimage","A004DA75","A004DA75","1.02","Sean Barrett and contributers (see stb_image.h)","-","Adapted for BlitzMax by Bruce A Henderson","ZLib/PNG License","-","-","-","-","-","700","1600611569",""
